source,user_name,rating,review_date,review_description,ulasan
App Store,Ingrid汤,3,2025-02-27 23:26:03,"Perbarui ke versi terbaru lalu selalu mogok, tolong perbaiki, terima kasih",perbarui versi terbaru mogok perbaiki terima kasih
App Store,Frej27,3,2025-02-27 21:12:55,AI selalu menampilkan “Obrolan AI belum tersedia untuk Anda” meskipun saya berada di wilayah yang tepat di Indonesia,ai menampilkan obrolan ai tersedia wilayah indonesia
App Store,Ippoooooo,1,2025-02-27 12:49:03,"Ini adalah fitur favorit saya, dan sekarang hilang setelah pembaruan",fitur favorit hilang pembaruan
App Store,bwp28888,1,2025-02-26 09:48:06,Selalu Tutup paksa di iphone 7,tutup paksa iphone 7
App Store,Dz Mufidah,5,2025-02-26 03:24:52,Hai WhatsApp tolong buat tema terang meskipun tema iPhone gelap,hai whatsapp tema terang tema iphone gelap
App Store,chendra1,1,2025-02-25 16:30:03,Tidak dapat menandai gambar secara langsung,menandai gambar langsung
App Store,ih8pupmppu,2,2025-02-25 12:25:40,"seperti idek motivasimu membuat stiker BESAR seperti ini 😭 tapi ini jelek, lebih baik kamu dengarkan aku 😭 cukup, kembalikan whatsapp lama yang berwarna biru 😭",idek motivasimu stiker jelek dengarkan kembalikan whatsapp berwarna biru
App Store,Angelinas16,1,2025-02-24 16:32:27,"Setelah aplikasi ini ditingkatkan, saya menghadapi masalah karena fitur tanpa putar tidak berfungsi saat saya melakukan panggilan video di whatsapp!",aplikasi ditingkatkan menghadapi fitur putar berfungsi panggilan video whatsapp
App Store,axzk20trw,1,2025-02-24 16:27:15,Saya sudah memastikan rotasi otomatis ponsel saya terkunci tetapi whatsapp saya saat video call masih berputar dan itu mengganggu. kenapa whatsapp ada bug yang mengganggu seperti itu dan sampai saat ini belum ada update atau apapun,rotasi otomatis ponsel terkunci whatsapp video call berputar mengganggu whatsapp bug mengganggu update apapun
App Store,Dimas joey sanu,1,2025-02-24 16:15:11,"Fitur rotasi otomatis tidak berfungsi jika saya mencoba mengunci rotasi setelah memperbarui versi baru iPhone 11 saya, bug itu ada di versi baru",fitur rotasi otomatis berfungsi mencoba mengunci rotasi memperbarui versi iphone 11 bug versi
App Store,Dtr20,1,2025-02-24 15:39:35,"1. Memutar layar panggilan video (tidak semua pengguna menginginkan fitur ini
2. Fitur setting (ada yang hilang",1 memutar layar panggilan video pengguna fitur 2 fitur setting hilang
App Store,dawgselmoz,3,2025-02-24 11:11:01,"Kenapa di whatsapp sekarang videocallnya otomatis berubah??, mohon diperbaiki😔, itu membuat kami tidak nyaman untuk mengambil whatsapp",whatsapp videocallnya otomatis berubah mohon diperbaiki nyaman mengambil whatsapp
App Store,meri_bee,5,2025-02-23 12:09:25,wowwww akhirnya tema baru di whatsapp ❤️❤️❤️❤️ karena warna hijau di sebelumnya membosankan sekali 🤪🤪🤪😅😅😅😅😅😅,wowwww tema whatsapp warna hijau membosankan
App Store,rahmadyd,3,2025-02-23 11:30:26,"tolong buat aplikasi untuk ipad, saya benci kalau tahu, ipad tidak kompatibel untuk WA, saya benci",aplikasi ipad benci ipad kompatibel wa benci
App Store,atanplays22,4,2025-02-23 10:31:36,"Suatu hari WhatsApp terhapus dari ponselku, aku mengunduh ulang dan keesokan harinya dihapus lagi :( masih merupakan aplikasi yang bagus :)",whatsapp terhapus ponselku mengunduh ulang keesokan harinya dihapus aplikasi bagus
App Store,miranty fl,3,2025-02-23 04:20:36,"Saya tidak dapat membuka/memperbarui whatsapp lagi karena iPhone 6 saya dan sangat menyedihkan karena saya mempunyai banyak kontak (Sekolah, Teman & Keluarga) tetapi karena Whatsapp tidak mendukung iphone 5, iphone 6 & iphone 6 plus saya tidak dapat menghubungi mereka lagi untuk urusan sekolah 😭😭😭😭😭
Saya berharap CEO Whatsapp akan berubah pikiran tentang hal ini.😭😭😭😭😭",membukamemperbarui whatsapp iphone 6 menyedihkan kontak sekolah teman keluarga whatsapp mendukung iphone 5 iphone 6 iphone 6 plus menghubungi urusan sekolah berharap ceo whatsapp berubah pikiran
App Store,Iyan Sutiana,1,2025-02-23 03:57:01,Halo Dukungan Whatsapp. Silakan aktifkan META AI saya di whatsapp saya,halo dukungan whatsapp silakan aktifkan meta ai whatsapp
